74. 	102600 	Orcs Must Die! 	4,856 	144 	96.54% 	97.12%
75. 	339350 	Choice of Robots 	1,488 	37 	96.52% 	97.57%
76. 	9420 	Supreme Commander: Forged Alliance 	3,636 	105 	96.52% 	97.19%
77. 	559210 	Rakuen 	325 	4 	96.52% 	98.78%
78. 	218410 	Defender's Quest: Valley of the Forgotten 	2,409 	66 	96.51% 	97.33%
79. 	322330 	Don't Starve Together 	61,341 	2,130 	96.48% 	96.64%
80. 	600370 	Paradigm 	320 	4 	96.47% 	98.77%
81. 	529150 	Lazerbait 	234 	2 	96.45% 	99.15%
82. 	288160 	The Room 	6,032 	190 	96.42% 	96.95%
83. 	70400 	Recettear: An Item Shop's Tale 	4,436 	136 	96.41% 	97.03%
84. 	571880 	Angels with Scaly Wings 	352 	5 	96.39% 	98.60%
85. 	319630 	Life is Strange™ 	88,940 	3,209 	96.38% 	96.52%
86. 	8930 	Sid Meier's Civilization V 	107,503 	3,900 	96.37% 	96.50%
87. 	293780 	Crawl 	2,552 	75 	96.32% 	97.15%
88. 	204360 	Castle Crashers 	38,586 	1,391 	96.31% 	96.52%
89. 	70 	Half-Life 	17,500 	615 	96.29% 	96.61%
90. 	373390 	Contradiction - the all-video murder mystery adventure 	1,257 	33 	96.26% 	97.44%
91. 	266010 	LYNE 	6,257 	209 	96.24% 	96.77%
92. 	261570 	Ori and the Blind Forest 	22,174 	800 	96.24% 	96.52%
93. 	250760 	Shovel Knight: Treasure Trove 	7,830 	268 	96.22% 	96.69%
94. 	370360 	TIS-100 	1,931 	56 	96.22% 	97.18%
95. 	615610 	Orbt XL 	371 	6 	96.20% 	98.41%
96. 	284770 	Enigmatis 2: The Mists of Ravenwood 	674 	15 	96.19% 	97.82%
97. 	420 	Half-Life 2: Episode Two 	9,829 	345 	96.18% 	96.61%
98. 	365720 	Skyrim Script Extender (SKSE) 	507 	10 	96.18% 	98.07%
99. 	385250 	Paint it Back 	256 	3 	96.17% 	98.84%
100. 	35140 	Batman: Arkham Asylum GOTY Edition 	15,890 	576 	96.17% 	96.50%
101. 	287980 	Mini Metro 	4,824 	162 	96.14% 	96.75%
102. 	13240 	Unreal Tournament: Game of the Year Edition 	1,538 	44 	96.13% 	97.22%
103. 	55230 	Saints Row: The Third 	35,692 	1,355 	96.12% 	96.34%
104. 	360740 	Downwell 	3,207 	104 	96.11% 	96.86%
105. 	236090 	Dust: An Elysian Tail 	13,879 	518 	96.04% 	96.40%
106. 	530390 	Slayaway Camp 	355 	6 	96.04% 	98.34%
107. 	207690 	Botanicula 	2,691 	87 	96.04% 	96.87%
108. 	251370 	Escape Goat 	519 	11 	96.02% 	97.92%
109. 	460120 	Megadimension Neptunia VII 	1,576 	47 	96.02% 	97.10%
110. 	387290 	Ori and the Blind Forest: Definitive Edition 	7,269 	262 	96.02% 	96.52%
111. 	246420 	Kingdom Rush 	4,236 	146 	96.01% 	96.67%
112. 	35720 	Trine 2 	13,810 	520 	96.00% 	96.37%
113. 	304410 	Hexcells Infinite 	1,386 	41 	95.96% 	97.13%
114. 	504210 	SHENZHEN I/O 	1,016 	28 	95.95% 	97.32%
115. 	496920 	Moirai 	11,593 	440 	95.94% 	96.34%
116. 	280220 	Creeper World 3: Arc Eternal 	1,789 	56 	95.93% 	96.96%
117. 	41050 	Serious Sam Classic: The First Encounter 	1,040 	29 	95.93% 	97.29%
118. 	238320 	Outlast 	28,762 	1,141 	95.93% 	96.18%
119. 	322170 	Geometry Dash 	37,186 	1,494 	95.91% 	96.14%
120. 	113200 	The Binding of Isaac 	40,525 	1,653 	95.86% 	96.08%
121. 	251290 	The Legend of Heroes: Trails in the Sky SC 	763 	20 	95.85% 	97.45%
122. 	407310 	NEKO-NIN exHeart 	305 	5 	95.85% 	98.39%
123. 	373770 	LiEat 	1,529 	48 	95.83% 	96.96%
124. 	236930 	Blackwell Epiphany 	399 	8 	95.81% 	98.03%
